student_id,age,gender,study_hours_per_day,smartphone_usage_hours,social_media_hours,gaming_hours,streaming_hours,sleep_hours,exercise_hours,class_attendance_percent,assignment_completion_percent,caffeine_intake_cups,mental_health_status,parent_education_level,internet_quality,motivation_level,final_exam_score
57,18,Male,7.03,5.56,3.82,3.08,1.79,7.28,0.99,86.99,84.07,2,Average,Masters,Average,6.92,100.0
58,22,Male,7.29,7.97,2.3,0.0,1.74,5.36,3.02,68.08,75.34,1,Average,HighSchool,Good,4.62,100.0
59,18,Male,5.13,0.75,2.47,2.35,0.75,9.39,1.57,92.29,67.24,1,Average,Bachelors,Average,5.14,100.0
60,19,Male,3.87,6.35,1.15,3.79,2.31,10.0,0.9,87.84,77.24,2,Average,Masters,Average,7.81,75.8
61,20,Female,5.62,4.87,2.61,0.35,2.45,4.97,0.48,81.99,38.62,0,Average,HighSchool,Average,6.38,74.05
62,19,Male,3.33,8.5,3.94,4.07,0.85,8.7,0.69,88.99,87.48,1,Average,HighSchool,Average,5.62,66.97
63,19,Female,4.43,5.74,4.04,1.81,1.2,7.7,1.85,100.0,100.0,0,Good,PhD,Average,2.6,94.2
64,22,Male,3.67,5.48,1.69,3.36,2.72,6.92,0.99,78.14,78.77,1,Average,Masters,Average,5.45,100.0
65,24,Female,6.15,7.9,4.79,3.71,1.05,8.05,0.76,98.2,84.4,0,Average,PhD,Average,6.81,100.0
66,20,Female,0.2,7.85,3.32,5.56,1.5,8.9,2.25,68.39,88.33,0,Average,HighSchool,Good,10.0,39.11
67,17,Female,2.61,4.43,1.73,0.29,0.07,5.59,0.0,91.59,78.37,0,Good,HighSchool,Average,6.65,92.83
68,20,Female,5.39,9.45,4.41,3.13,0.55,6.64,0.43,75.6,98.27,1,Good,HighSchool,Good,3.01,65.7
69,21,Female,5.82,4.56,3.62,1.89,1.62,5.87,0.0,87.45,83.99,2,Good,Bachelors,Good,1.73,91.68
70,22,Female,4.33,4.36,0.8,0.0,1.63,9.01,0.96,90.59,96.82,1,Poor,Bachelors,Average,7.95,80.18
71,20,Female,6.99,6.64,5.64,2.56,2.71,7.13,1.52,76.04,69.26,2,Poor,HighSchool,Average,10.0,85.64
72,17,Male,3.63,6.45,4.32,3.28,0.28,7.76,2.13,91.15,76.56,1,Good,HighSchool,Good,4.52,100.0
73,21,Female,3.5,6.88,3.98,1.8,1.07,5.91,1.94,83.86,86.24,2,Average,HighSchool,Good,5.15,80.56
74,25,Female,2.59,1.86,2.98,2.13,0.58,7.31,0.04,100.0,83.93,0,Average,Masters,Average,5.58,88.53
75,23,Male,4.19,5.7,1.66,2.98,3.75,6.87,1.62,88.56,83.64,4,Poor,Bachelors,Average,9.64,100.0
76,24,Male,7.34,6.87,3.71,2.13,2.03,6.16,1.18,87.91,96.27,1,Average,Bachelors,Good,5.38,100.0
77,19,Female,6.86,12.11,6.47,0.3,1.8,9.04,2.66,75.39,71.54,3,Average,HighSchool,Poor,4.58,91.37
78,24,Male,5.76,6.35,4.16,1.6,0.69,8.25,2.44,75.06,70.7,0,Good,Bachelors,Average,1.67,83.08
79,20,Female,3.76,3.2,5.67,4.31,3.37,10.0,2.0,85.68,64.52,1,Average,Bachelors,Good,7.67,89.47
80,25,Male,4.21,4.52,3.99,1.79,1.19,9.33,0.0,79.99,71.18,0,Poor,Bachelors,Good,4.92,56.78
81,23,Male,3.73,5.33,1.97,3.28,4.11,6.75,1.25,71.34,80.65,1,Average,HighSchool,Average,8.06,73.04
82,23,Male,3.85,1.63,1.61,1.09,2.45,7.93,1.02,88.62,58.58,5,Average,Bachelors,Poor,7.62,100.0
83,22,Female,2.18,6.1,2.04,0.59,3.24,4.75,0.86,94.9,83.81,2,Good,HighSchool,Average,7.54,71.59
84,23,Male,5.61,3.61,4.68,0.43,0.52,7.22,2.4,79.04,100.0,3,Good,Masters,Poor,7.87,100.0
85,22,Male,4.52,3.97,4.01,2.0,3.25,9.26,0.68,68.05,91.32,1,Average,HighSchool,Average,5.92,65.12
86,24,Male,5.0,5.46,5.26,0.0,1.21,6.93,2.89,78.03,100.0,1,Poor,Bachelors,Poor,3.77,87.95
87,18,Female,4.92,5.28,3.98,3.58,3.16,7.92,0.96,92.96,82.33,0,Good,Bachelors,Poor,9.52,100.0
88,22,Male,3.82,2.08,6.32,0.0,3.88,6.1,1.95,64.16,62.81,2,Average,HighSchool,Good,4.85,64.65
89,21,Male,6.89,10.18,6.2,1.43,3.02,3.5,1.53,80.65,80.29,1,Average,Bachelors,Average,7.61,71.09
90,21,Female,5.91,10.16,3.99,2.5,1.16,6.48,1.75,100.0,84.04,2,Poor,Bachelors,Poor,3.52,100.0
91,17,Female,6.42,3.53,5.0,2.06,1.77,6.51,0.0,100.0,84.05,4,Good,HighSchool,Average,8.26,100.0
92,23,Male,2.89,8.23,3.21,0.92,0.26,7.66,0.27,85.65,73.98,2,Poor,Masters,Average,5.11,46.2
93,19,Female,2.72,7.56,3.11,2.12,0.0,7.2,1.17,88.9,100.0,1,Good,Bachelors,Average,5.79,74.61
94,23,Male,1.32,2.55,3.74,3.35,2.34,6.93,0.77,61.45,100.0,3,Good,Masters,Average,7.29,73.71
95,25,Female,8.27,4.27,4.16,0.0,2.3,7.47,0.31,92.55,63.52,1,Good,Masters,Poor,8.06,100.0
96,19,Female,0.55,0.0,4.41,1.74,1.58,7.69,1.72,90.17,95.8,2,Average,Masters,Good,5.9,76.5
97,21,Female,2.54,9.19,1.4,3.01,1.6,6.54,1.05,79.85,85.15,3,Good,Bachelors,Average,6.49,61.57
98,18,Male,4.49,3.16,3.3,4.41,1.55,6.73,0.61,74.18,100.0,0,Good,Masters,Good,4.52,81.0
99,23,Male,3.45,3.52,3.99,2.39,1.5,7.47,1.35,90.21,94.69,0,Poor,Bachelors,Good,9.28,79.63
100,18,Male,3.7,5.61,4.39,2.69,3.75,8.52,0.0,71.83,76.53,1,Average,Masters,Average,10.0,93.21
101,22,Male,6.77,6.14,3.57,2.14,1.99,5.27,1.14,65.47,81.71,1,Average,Masters,Good,7.96,100.0
102,18,Female,6.39,3.21,3.99,1.91,2.57,9.34,1.84,97.81,76.61,0,Good,HighSchool,Average,6.76,100.0
103,23,Female,3.13,6.58,1.76,3.49,1.42,7.79,1.31,82.77,94.86,2,Poor,HighSchool,Poor,5.28,59.78
104,25,Male,3.07,6.09,0.0,0.0,2.82,8.26,0.9,73.9,91.01,3,Good,HighSchool,Average,8.09,78.31
105,23,Male,2.55,2.54,2.91,0.0,1.54,6.19,2.36,91.71,80.57,4,Average,Masters,Average,6.28,86.57
106,22,Male,6.28,8.76,1.26,3.98,2.63,6.58,0.16,87.0,67.0,1,Good,Bachelors,Average,5.49,77.81
107,24,Male,4.65,7.28,4.61,1.98,0.0,5.26,0.69,91.2,69.47,1,Average,HighSchool,Average,7.37,99.26
108,22,Female,3.07,2.94,6.06,1.88,2.0,4.97,3.34,85.22,82.45,1,Average,Bachelors,Average,6.27,80.69
109,21,Female,8.18,4.43,0.8,2.53,1.11,7.48,1.87,81.11,48.92,2,Poor,PhD,Average,1.75,88.36
110,23,Female,2.33,9.11,1.71,3.98,2.35,7.47,1.84,92.16,83.5,0,Good,Bachelors,Average,9.0,60.14
111,25,Female,6.81,8.63,4.0,4.51,2.6,7.82,3.01,89.85,84.76,3,Average,HighSchool,Poor,2.74,96.85
112,18,Male,5.61,5.34,5.29,0.75,3.95,8.75,1.9,84.87,100.0,3,Good,HighSchool,Good,6.5,100.0
113,22,Male,5.59,6.57,4.21,1.4,2.23,5.34,0.94,76.82,66.96,2,Average,Bachelors,Average,5.82,96.93
114,22,Female,5.67,4.79,2.05,0.66,1.92,4.6,1.34,71.23,82.68,2,Poor,Bachelors,Average,5.69,60.26
115,25,Male,4.53,5.51,5.72,2.79,1.05,5.49,3.16,79.62,74.17,0,Average,Bachelors,Average,7.64,91.86
116,20,Male,6.89,2.39,0.07,1.02,0.0,6.82,0.72,84.54,66.39,2,Good,Bachelors,Average,6.09,82.73
117,24,Male,3.75,2.53,4.43,3.89,0.57,7.06,1.5,91.49,71.56,1,Average,Bachelors,Average,5.58,70.23
118,24,Female,7.06,6.47,3.32,5.22,1.55,6.42,1.48,90.99,60.73,2,Average,Bachelors,Average,5.02,98.33
119,21,Female,4.77,7.96,1.07,2.07,0.6,8.21,2.48,70.73,91.4,0,Good,HighSchool,Good,5.43,100.0
120,24,Male,5.61,0.86,4.63,1.9,0.0,8.89,0.1,100.0,82.47,1,Poor,PhD,Poor,6.17,83.67
121,22,Female,5.99,5.92,4.47,0.0,0.53,7.04,2.41,86.85,78.94,1,Good,Bachelors,Average,4.94,100.0
122,23,Female,10.55,10.0,1.86,0.0,0.05,5.49,2.02,98.84,100.0,1,Good,HighSchool,Poor,5.6,100.0
123,19,Female,5.28,2.67,3.11,3.79,1.67,6.79,1.55,93.0,90.78,0,Average,HighSchool,Poor,4.41,71.74
124,17,Male,4.68,7.33,0.01,3.76,0.98,4.76,1.2,96.38,68.93,1,Poor,Bachelors,Average,6.35,77.08
125,22,Male,1.55,3.62,1.25,1.48,2.75,8.0,1.48,78.46,47.3,3,Average,HighSchool,Good,7.77,47.64
126,20,Male,5.64,3.74,4.51,2.06,0.98,7.38,1.38,95.18,65.64,1,Average,HighSchool,Average,5.05,92.63
127,17,Female,8.75,3.74,3.75,4.11,0.68,6.45,0.87,88.32,76.82,2,Poor,Masters,Good,5.83,100.0
128,22,Female,4.4,3.73,7.36,1.01,4.29,7.79,1.66,82.37,98.94,1,Average,Bachelors,Good,6.55,89.25
129,24,Female,3.35,3.5,4.13,3.84,2.75,4.69,1.81,100.0,74.75,1,Average,Masters,Average,6.1,77.59
130,18,Female,1.05,5.67,4.24,2.21,3.22,8.4,0.0,90.81,82.07,3,Good,Bachelors,Good,4.68,74.86
131,25,Male,5.12,6.82,3.62,1.83,3.11,6.34,1.93,91.98,91.53,0,Average,Bachelors,Average,5.26,96.42
132,21,Female,4.8,3.92,3.24,2.85,1.49,6.15,0.0,74.11,76.85,3,Good,HighSchool,Average,2.8,72.87
133,17,Female,5.01,10.02,5.95,0.1,0.47,6.63,1.32,88.72,78.64,2,Average,HighSchool,Average,2.25,74.07
134,19,Female,2.67,6.0,4.68,0.0,1.52,7.91,1.92,78.05,78.22,2,Average,HighSchool,Average,3.95,70.31
135,17,Male,6.35,3.37,5.37,0.0,3.21,5.61,0.92,84.45,84.18,2,Good,HighSchool,Poor,8.77,96.48
136,24,Male,3.81,4.1,0.52,2.03,1.23,6.42,2.82,84.14,72.63,0,Average,Masters,Average,8.02,98.76
137,23,Female,4.0,2.1,4.1,1.09,2.5,7.66,0.27,86.42,63.25,1,Good,HighSchool,Average,1.82,57.27
138,19,Female,4.93,3.92,1.22,1.49,2.75,6.66,1.69,83.87,85.07,1,Average,PhD,Good,6.38,83.9
139,22,Female,7.47,5.25,2.44,4.82,1.06,4.05,0.44,84.39,61.42,4,Average,Bachelors,Good,4.99,91.55
140,18,Female,5.55,5.85,0.67,3.45,3.3,4.99,2.58,69.41,87.48,1,Good,Masters,Poor,5.82,83.6
141,17,Female,4.93,4.67,4.01,0.04,0.0,5.7,4.15,88.88,92.32,0,Average,Bachelors,Average,6.06,100.0
142,17,Female,5.35,3.85,5.2,3.71,2.78,5.81,0.22,96.55,87.84,2,Good,Bachelors,Average,7.55,100.0
143,18,Male,4.18,6.44,1.94,5.16,4.06,6.94,1.73,82.6,91.37,2,Average,HighSchool,Average,4.59,82.17
144,18,Male,4.23,3.31,4.69,4.06,1.7,6.07,1.46,75.97,41.95,1,Average,HighSchool,Average,5.6,60.15
145,22,Male,3.43,4.24,1.75,2.11,0.31,8.19,0.0,91.13,58.88,2,Poor,Bachelors,Average,5.65,68.09
146,20,Male,4.08,3.25,5.6,4.78,3.36,4.57,0.0,79.98,58.54,1,Good,Bachelors,Poor,3.41,51.27
147,19,Female,4.07,5.53,1.97,2.63,0.07,6.58,1.17,90.11,77.73,3,Good,HighSchool,Average,3.0,100.0
148,17,Female,5.82,9.09,3.98,1.43,2.49,5.38,2.31,88.67,84.62,1,Average,HighSchool,Poor,6.98,100.0
149,21,Female,4.21,5.54,8.3,3.71,2.05,7.93,1.91,79.84,61.9,1,Poor,Bachelors,Poor,8.54,64.01
150,25,Female,4.69,2.15,0.0,3.07,0.97,6.51,2.05,75.1,82.15,3,Good,PhD,Good,6.43,97.72
151,24,Male,7.46,4.78,2.4,0.0,1.96,6.81,1.35,100.0,72.35,3,Good,Bachelors,Good,3.37,88.4
152,18,Male,5.47,7.99,2.13,1.52,1.71,5.63,1.42,77.39,53.98,1,Average,Bachelors,Average,2.51,79.82
153,21,Male,2.48,5.74,4.4,1.37,2.2,8.56,0.83,80.02,84.86,2,Good,Masters,Average,8.52,62.51
154,20,Male,3.14,1.1,4.88,1.92,2.06,6.59,1.79,95.88,89.21,2,Average,HighSchool,Poor,6.75,94.2
155,23,Female,4.48,2.9,3.41,3.73,0.09,7.14,1.32,100.0,91.29,0,Average,Bachelors,Poor,3.02,73.81
156,24,Female,2.78,4.24,3.68,3.35,3.63,7.92,0.0,78.06,86.91,1,Average,Masters,Poor,6.44,68.2
157,18,Male,5.66,9.05,4.03,3.48,0.0,5.21,0.82,72.81,85.19,1,Poor,Masters,Average,3.78,96.65
158,17,Male,4.05,1.88,1.63,1.94,0.86,6.97,1.45,86.23,61.83,0,Good,Bachelors,Poor,4.96,100.0
159,19,Male,4.37,4.42,3.39,1.22,0.45,8.19,0.48,67.44,69.17,3,Average,Bachelors,Average,7.27,73.45
160,24,Female,4.45,9.14,1.66,0.0,1.69,6.7,0.0,96.48,59.02,0,Average,HighSchool,Good,2.85,86.46
161,17,Male,5.71,1.72,3.04,1.98,0.0,5.95,2.02,68.21,68.2,1,Good,HighSchool,Good,8.04,100.0
162,17,Male,8.66,11.0,3.04,1.16,3.64,6.18,0.21,78.69,31.26,4,Average,Masters,Average,9.19,100.0
163,25,Female,4.35,3.93,4.81,1.49,0.79,4.56,1.48,77.97,100.0,0,Good,Masters,Good,4.35,78.97
164,19,Male,5.49,4.98,3.82,0.0,3.61,5.21,0.77,90.48,94.84,0,Poor,Bachelors,Average,5.84,88.56
165,17,Male,3.59,5.44,2.45,0.0,4.24,7.01,0.0,93.45,82.66,1,Poor,HighSchool,Good,5.64,86.98
166,22,Female,0.52,7.3,7.42,0.52,2.48,5.48,0.37,100.0,67.48,2,Good,Masters,Poor,5.81,34.6
167,22,Female,1.71,7.1,3.57,1.3,0.64,8.69,0.53,95.84,77.56,1,Average,HighSchool,Average,5.05,54.63
168,17,Female,6.78,6.68,5.47,5.78,3.15,5.63,2.45,92.35,100.0,3,Good,Bachelors,Average,6.01,94.73
169,17,Male,4.82,7.54,4.78,2.96,2.06,8.0,1.82,79.59,80.32,0,Poor,Bachelors,Average,6.45,70.15
170,25,Female,0.6,10.38,3.95,0.0,1.94,10.0,2.39,86.42,82.88,1,Good,Bachelors,Poor,6.62,51.18
171,21,Female,3.13,4.68,3.13,2.19,3.44,6.5,1.66,100.0,78.84,1,Good,Masters,Average,7.3,72.67
172,22,Male,5.7,2.94,3.48,1.31,2.36,5.39,3.18,78.26,90.17,2,Average,HighSchool,Average,5.55,93.2
173,18,Female,6.91,9.99,3.52,2.19,1.07,7.66,1.29,65.32,81.18,4,Good,HighSchool,Good,8.19,100.0
174,21,Female,2.91,2.85,3.85,2.62,2.16,3.5,0.27,82.37,100.0,2,Average,HighSchool,Average,1.0,53.84
175,17,Male,1.51,7.31,1.95,0.0,2.99,6.51,0.0,86.4,65.82,2,Average,Bachelors,Average,4.12,39.58
176,24,Female,5.1,5.44,1.34,0.0,3.87,5.46,0.0,70.0,70.77,3,Average,HighSchool,Average,5.3,86.85
177,19,Female,4.69,7.74,0.0,0.71,0.68,5.57,0.0,83.29,88.89,1,Average,HighSchool,Average,4.75,96.81
178,17,Male,4.53,5.21,4.1,1.78,0.6,4.13,1.57,91.7,31.2,2,Average,HighSchool,Good,5.53,60.67
179,20,Male,5.23,7.37,0.29,2.6,3.53,5.25,1.67,93.3,70.6,2,Average,HighSchool,Average,6.89,87.5
180,25,Female,4.73,5.0,2.77,1.61,2.45,5.59,1.72,93.96,90.13,3,Average,Bachelors,Poor,4.57,86.16
181,20,Male,6.04,6.28,3.7,2.55,3.75,7.57,2.18,91.9,86.03,2,Good,Bachelors,Good,3.28,92.41
182,24,Male,2.46,7.7,2.89,2.35,0.0,6.36,0.01,81.14,83.8,0,Average,Bachelors,Average,3.91,49.9
183,18,Male,3.51,4.86,6.58,1.07,1.87,6.27,2.05,83.26,88.81,0,Good,HighSchool,Good,6.75,100.0
184,17,Female,4.89,5.54,1.51,2.82,1.84,4.15,2.59,77.07,96.71,1,Average,PhD,Good,8.53,71.57
185,18,Male,2.12,2.71,2.98,2.69,2.83,7.4,0.86,91.76,100.0,3,Average,Bachelors,Average,4.47,91.02
186,21,Male,1.09,8.2,1.47,0.7,2.71,7.61,0.81,61.01,100.0,2,Average,HighSchool,Average,5.32,37.59
187,23,Male,2.98,8.32,3.94,1.44,2.38,4.83,1.85,95.31,93.56,1,Poor,HighSchool,Average,4.63,43.43
188,18,Male,7.25,2.05,3.89,0.0,0.99,6.72,0.68,86.9,91.03,1,Average,HighSchool,Average,6.31,100.0
189,17,Male,4.4,6.49,1.88,1.77,0.32,8.27,0.0,94.77,91.07,1,Average,Masters,Average,5.23,91.6
190,18,Female,7.47,2.66,2.57,2.99,4.1,6.19,2.77,64.99,74.15,0,Average,HighSchool,Good,6.46,89.7
191,17,Male,3.14,4.28,4.67,1.92,0.76,7.0,0.87,83.92,76.73,0,Good,Masters,Average,4.97,89.14
192,18,Female,3.92,6.46,4.7,2.71,1.46,6.84,0.48,94.56,100.0,3,Average,HighSchool,Average,6.1,93.7
193,25,Female,8.04,6.45,2.17,0.56,0.0,6.69,1.64,91.14,81.52,1,Good,PhD,Poor,5.58,100.0
194,21,Female,4.05,4.07,6.07,4.83,3.6,9.66,0.34,86.39,84.7,3,Average,HighSchool,Good,1.69,74.38
195,18,Female,6.11,7.63,4.46,2.08,1.87,7.31,0.0,82.28,81.5,0,Average,Masters,Good,5.56,100.0
196,23,Female,2.03,6.73,2.74,1.6,1.15,7.29,0.37,85.83,62.31,1,Average,Bachelors,Poor,4.58,28.37
197,25,Female,4.62,6.72,5.4,0.51,0.89,6.28,0.9,88.97,82.14,1,Good,Bachelors,Average,10.0,100.0
198,22,Male,3.72,3.87,7.93,4.23,2.1,9.59,1.75,89.99,64.54,1,Average,Bachelors,Good,8.19,91.41
199,19,Male,5.39,3.93,3.19,5.13,0.0,7.34,2.49,63.53,72.99,2,Average,Bachelors,Average,5.39,98.33
200,21,Female,3.78,6.54,2.84,3.76,2.85,5.72,2.45,100.0,65.85,1,Average,HighSchool,Average,9.49,87.56
201,24,Male,6.92,3.44,1.86,2.87,1.75,7.57,0.54,85.54,77.88,1,Poor,Bachelors,Poor,5.31,91.32
202,21,Female,2.49,4.59,1.92,0.85,1.69,5.17,1.81,87.39,57.71,3,Good,HighSchool,Good,3.72,75.43
203,18,Female,3.62,12.33,3.56,1.99,1.52,8.74,0.92,76.44,95.3,1,Good,Masters,Average,6.46,74.12
204,19,Male,6.85,6.95,4.94,3.81,5.48,7.83,2.03,89.03,86.54,3,Average,Masters,Average,3.15,93.48
205,25,Female,3.16,8.3,2.81,1.71,1.41,8.06,2.68,90.23,74.9,0,Good,HighSchool,Good,5.97,92.61
206,22,Male,3.6,7.24,5.31,1.17,2.2,5.64,1.09,78.35,46.54,3,Good,Bachelors,Average,4.79,70.55
207,19,Male,2.88,7.51,2.72,1.93,3.01,6.64,0.67,73.64,72.16,1,Good,HighSchool,Poor,10.0,64.59
208,23,Male,2.75,7.84,5.9,0.21,1.17,7.92,1.6,73.66,76.54,0,Average,HighSchool,Average,5.88,48.37
209,19,Female,3.97,4.12,5.19,0.85,0.0,7.72,1.89,79.09,81.91,1,Good,HighSchool,Good,3.69,90.28
210,22,Male,5.08,8.19,5.87,5.11,2.39,5.77,1.38,100.0,61.55,1,Good,HighSchool,Good,4.44,93.92
211,24,Female,5.18,3.77,3.79,2.44,1.64,5.25,1.77,87.38,78.08,1,Average,HighSchool,Average,3.53,68.02
